last_name,first_name,height
Wilson,Glenn,73
Wilson,Jim,73
Wilson,Jimmie,73
Wilson,Willie,75
Winfield,Dave,78
Wise,Rick,73
Witt,Mike,79
Wohlers,Mark,76
Womack,Tony,69
Wood,Wilbur,72
Woodeshick,Hal,75
Woodling,Gene,69
Worrell,Todd,77
Wright,Clyde,73
Wyatt,John,71
Wyatt,Whit,73
Wynegar,Butch,73
Wynn,Early,72
Wynn,Jim,70
Wyrostek,Johnny,74
Wyse,Hank,71
Yastrzemski,Carl,71
York,Rudy,73
Yost,Eddie,70
Young,Eric,69
Young,Matt,75
Youngblood,Joel,72
Yount,Robin,72
Zachry,Pat,77
Zak,Frankie,70
Zarilla,Al,71
Zernial,Gus,74
Zimmer,Don,69
Zimmerman,Jeff,73
Zisk,Richie,73
